shipment_id,user_id,kota_asal,kota_tujuan,berat_kg,panjang_cm,lebar_cm,tinggi_cm,berat_volume_kg,harga_jual_produk,jenis_layanan,tarif_ongkir,estimasi_sla,persentase_ongkir,selisih_harga_layanan,selisih_waktu_sla_hari,is_recommended,alasan_rekomendasi,timestamp_cek,frekuensi_cek_bulanan,flag_upsell_bisnisaja
SHP00004,UMKM_2519,Bekasi,Jakarta Utara,6.1,17,14,15,0.59,150000,Ekonomi,19500,3-5 Hari,13.0,0,3.7,True,"Gunakan Ekonomi karena tarif paling hemat (13.0% dari harga jual), hemat sekitar 69% dibanding opsi lain",2026-09-08 09:24:00,25,True
SHP00004,UMKM_2519,Bekasi,Jakarta Utara,6.1,17,14,15,0.59,150000,Same Day,62500,Beberapa Jam,41.67,43000,0.0,False,Same Day bukan pilihan optimal: ongkir 41.67% dari harga jual dengan selisih waktu 0.0 hari dari opsi tercepat,2026-09-08 09:24:00,25,True
SHP00004,UMKM_2519,Bekasi,Jakarta Utara,6.1,17,14,15,0.59,150000,Next Day,41500,1 Hari,27.67,22000,0.7,False,Next Day bukan pilihan optimal: ongkir 27.67% dari harga jual dengan selisih waktu 0.7 hari dari opsi tercepat,2026-09-08 09:24:00,25,True
SHP00004,UMKM_2519,Bekasi,Jakarta Utara,6.1,17,14,15,0.59,150000,Reguler,26000,2-3 Hari,17.33,6500,2.2,False,Reguler bukan pilihan optimal: ongkir 17.33% dari harga jual dengan selisih waktu 2.2 hari dari opsi tercepat,2026-09-08 09:24:00,25,True
SHP00005,UMKM_2291,Manado,Jakarta Barat,5.52,44,34,22,5.49,100000,Reguler,32500,2-3 Hari,32.5,0,2.2,False,Reguler bukan pilihan optimal: ongkir 32.5% dari harga jual dengan selisih waktu 2.2 hari dari opsi tercepat,2026-08-08 16:27:00,11,False
SHP00005,UMKM_2291,Manado,Jakarta Barat,5.52,44,34,22,5.49,100000,Same Day,78000,Beberapa Jam,78.0,45500,0.0,False,Same Day bukan pilihan optimal: ongkir 78.0% dari harga jual dengan selisih waktu 0.0 hari dari opsi tercepat,2026-08-08 16:27:00,11,False
SHP00005,UMKM_2291,Manado,Jakarta Barat,5.52,44,34,22,5.49,100000,Next Day,52000,1 Hari,52.0,19500,0.7,False,Next Day bukan pilihan optimal: ongkir 52.0% dari harga jual dengan selisih waktu 0.7 hari dari opsi tercepat,2026-08-08 16:27:00,11,False
SHP00006,UMKM_2519,Samarinda,Bandung,4.16,16,37,24,2.37,300000,Reguler,19500,2-3 Hari,6.5,0,2.2,True,"Gunakan Reguler karena tarif paling hemat (6.5% dari harga jual), hemat sekitar 59% dibanding opsi lain",2026-09-08 13:09:00,24,True
SHP00006,UMKM_2519,Samarinda,Bandung,4.16,16,37,24,2.37,300000,Same Day,47000,Beberapa Jam,15.67,27500,0.0,False,Same Day bukan pilihan optimal: ongkir 15.67% dari harga jual dengan selisih waktu 0.0 hari dari opsi tercepat,2026-09-08 13:09:00,24,True
SHP00007,UMKM_4611,Bekasi,Jakarta Selatan,1.07,33,38,24,5.02,50000,Reguler,23500,2-3 Hari,47.0,0,2.2,False,Reguler bukan pilihan optimal: ongkir 47.0% dari harga jual dengan selisih waktu 2.2 hari dari opsi tercepat,2026-08-04 14:56:00,37,True
SHP00007,UMKM_4611,Bekasi,Jakarta Selatan,1.07,33,38,24,5.02,50000,Same Day,56500,Beberapa Jam,113.0,33000,0.0,False,Same Day bukan pilihan optimal: ongkir 113.0% dari harga jual dengan selisih waktu 0.0 hari dari opsi tercepat,2026-08-04 14:56:00,37,True
SHP00008,UMKM_2674,Jakarta Utara,Bogor,6.17,18,31,35,3.25,300000,Next Day,46500,1 Hari,15.5,17500,0.7,False,Next Day bukan pilihan optimal: ongkir 15.5% dari harga jual dengan selisih waktu 0.7 hari dari opsi tercepat,2026-08-11 15:33:00,39,True
SHP00008,UMKM_2674,Jakarta Utara,Bogor,6.17,18,31,35,3.25,300000,Same Day,69500,Beberapa Jam,23.17,40500,0.0,False,Same Day bukan pilihan optimal: ongkir 23.17% dari harga jual dengan selisih waktu 0.0 hari dari opsi tercepat,2026-08-11 15:33:00,39,True
SHP00008,UMKM_2674,Jakarta Utara,Bogor,6.17,18,31,35,3.25,300000,Reguler,29000,2-3 Hari,9.67,0,2.2,True,"Gunakan Reguler karena tarif paling hemat (9.67% dari harga jual), hemat sekitar 58% dibanding opsi lain",2026-08-11 15:33:00,39,True
SHP00009,UMKM_6925,Medan,Balikpapan,7.96,33,24,38,5.02,200000,Reguler,35000,2-3 Hari,17.5,9000,2.2,False,Reguler bukan pilihan optimal: ongkir 17.5% dari harga jual dengan selisih waktu 2.2 hari dari opsi tercepat,2026-08-08 14:14:00,5,False
SHP00009,UMKM_6925,Medan,Balikpapan,7.96,33,24,38,5.02,200000,Same Day,84000,Beberapa Jam,42.0,58000,0.0,False,Same Day bukan pilihan optimal: ongkir 42.0% dari harga jual dengan selisih waktu 0.0 hari dari opsi tercepat,2026-08-08 14:14:00,5,False
SHP00009,UMKM_6925,Medan,Balikpapan,7.96,33,24,38,5.02,200000,Ekonomi,26000,3-5 Hari,13.0,0,3.7,True,"Gunakan Ekonomi karena tarif paling hemat (13.0% dari harga jual), hemat sekitar 69% dibanding opsi lain",2026-08-08 14:14:00,5,False
SHP00010,UMKM_5333,Semarang,Jakarta Selatan,0.75,50,11,19,1.74,25000,Same Day,36000,Beberapa Jam,144.0,25000,0.0,False,Same Day bukan pilihan optimal: ongkir 144.0% dari harga jual dengan selisih waktu 0.0 hari dari opsi tercepat,2026-08-03 17:04:00,33,True
SHP00010,UMKM_5333,Semarang,Jakarta Selatan,0.75,50,11,19,1.74,25000,Ekonomi,11000,3-5 Hari,44.0,0,3.7,False,Ekonomi bukan pilihan optimal: ongkir 44.0% dari harga jual dengan selisih waktu 3.7 hari dari opsi tercepat,2026-08-03 17:04:00,33,True
SHP00011,UMKM_2674,Surabaya,Bogor,1.23,46,28,35,7.51,50000,Ekonomi,25000,3-5 Hari,50.0,0,3.0,False,Ekonomi bukan pilihan optimal: ongkir 50.0% dari harga jual dengan selisih waktu 3.0 hari dari opsi tercepat,2026-08-31 20:12:00,7,False
SHP00011,UMKM_2674,Surabaya,Bogor,1.23,46,28,35,7.51,50000,Next Day,53000,1 Hari,106.0,28000,0.0,False,Next Day bukan pilihan optimal: ongkir 106.0% dari harga jual dengan selisih waktu 0.0 hari dari opsi tercepat,2026-08-31 20:12:00,7,False
SHP00012,UMKM_5552,Balikpapan,Bekasi,6.94,13,31,11,0.74,15000,Next Day,52000,1 Hari,346.67,19500,0.0,False,Next Day bukan pilihan optimal: ongkir 346.67% dari harga jual dengan selisih waktu 0.0 hari dari opsi tercepat,2026-08-26 17:51:00,7,False
SHP00012,UMKM_5552,Balikpapan,Bekasi,6.94,13,31,11,0.74,15000,Reguler,32500,2-3 Hari,216.67,0,1.5,False,Reguler bukan pilihan optimal: ongkir 216.67% dari harga jual dengan selisih waktu 1.5 hari dari opsi tercepat,2026-08-26 17:51:00,7,False
SHP00013,UMKM_2584,Malang,Jakarta Timur,3.49,27,24,20,2.16,25000,Reguler,26500,2-3 Hari,106.0,6500,0.0,False,Reguler bukan pilihan optimal: ongkir 106.0% dari harga jual dengan selisih waktu 0.0 hari dari opsi tercepat,2026-08-29 10:03:00,35,True
SHP00013,UMKM_2584,Malang,Jakarta Timur,3.49,27,24,20,2.16,25000,Ekonomi,20000,3-5 Hari,80.0,0,1.5,False,Ekonomi bukan pilihan optimal: ongkir 80.0% dari harga jual dengan selisih waktu 1.5 hari dari opsi tercepat,2026-08-29 10:03:00,35,True
SHP00014,UMKM_1520,Balikpapan,Depok,3.95,35,38,8,1.77,35000,Same Day,59000,Beberapa Jam,168.57,40500,0.0,False,Same Day bukan pilihan optimal: ongkir 168.57% dari harga jual dengan selisih waktu 0.0 hari dari opsi tercepat,2026-08-25 07:24:00,17,False
SHP00014,UMKM_1520,Balikpapan,Depok,3.95,35,38,8,1.77,35000,Next Day,39000,1 Hari,111.43,20500,0.7,False,Next Day bukan pilihan optimal: ongkir 111.43% dari harga jual dengan selisih waktu 0.7 hari dari opsi tercepat,2026-08-25 07:24:00,17,False
SHP00014,UMKM_1520,Balikpapan,Depok,3.95,35,38,8,1.77,35000,Ekonomi,18500,3-5 Hari,52.86,0,3.7,False,Ekonomi bukan pilihan optimal: ongkir 52.86% dari harga jual dengan selisih waktu 3.7 hari dari opsi tercepat,2026-08-25 07:24:00,17,False
SHP00015,UMKM_7912,Surabaya,Makassar,1.9,13,28,39,2.37,15000,Next Day,24000,1 Hari,160.0,9000,0.7,False,Next Day bukan pilihan optimal: ongkir 160.0% dari harga jual dengan selisih waktu 0.7 hari dari opsi tercepat,2026-08-21 08:03:00,38,True
SHP00015,UMKM_7912,Surabaya,Makassar,1.9,13,28,39,2.37,15000,Reguler,15000,2-3 Hari,100.0,0,2.2,False,Reguler bukan pilihan optimal: ongkir 100.0% dari harga jual dengan selisih waktu 2.2 hari dari opsi tercepat,2026-08-21 08:03:00,38,True
SHP00015,UMKM_7912,Surabaya,Makassar,1.9,13,28,39,2.37,15000,Same Day,36000,Beberapa Jam,240.0,21000,0.0,False,Same Day bukan pilihan optimal: ongkir 240.0% dari harga jual dengan selisih waktu 0.0 hari dari opsi tercepat,2026-08-21 08:03:00,38,True
SHP00016,UMKM_7227,Bandung,Jakarta Utara,4.84,25,22,12,1.1,500000,Same Day,53000,Beberapa Jam,10.6,31000,0.0,False,Same Day bukan pilihan optimal: ongkir 10.6% dari harga jual dengan selisih waktu 0.0 hari dari opsi tercepat,2026-08-16 08:39:00,6,False
SHP00016,UMKM_7227,Bandung,Jakarta Utara,4.84,25,22,12,1.1,500000,Next Day,35000,1 Hari,7.0,13000,0.7,False,Next Day bukan pilihan optimal: ongkir 7.0% dari harga jual dengan selisih waktu 0.7 hari dari opsi tercepat,2026-08-16 08:39:00,6,False
SHP00016,UMKM_7227,Bandung,Jakarta Utara,4.84,25,22,12,1.1,500000,Reguler,22000,2-3 Hari,4.4,0,2.2,True,"Gunakan Reguler karena tarif paling hemat (4.4% dari harga jual), hemat sekitar 58% dibanding opsi lain",2026-08-16 08:39:00,6,False
SHP00017,UMKM_7201,Banjarmasin,Makassar,2.06,35,14,24,1.96,200000,Reguler,27000,2-3 Hari,13.5,7000,2.2,False,Reguler bukan pilihan optimal: ongkir 13.5% dari harga jual dengan selisih waktu 2.2 hari dari opsi tercepat,2026-08-21 09:00:00,30,True
SHP00017,UMKM_7201,Banjarmasin,Makassar,2.06,35,14,24,1.96,200000,Ekonomi,20000,3-5 Hari,10.0,0,3.7,True,"Gunakan Ekonomi karena tarif paling hemat (10.0% dari harga jual), hemat sekitar 69% dibanding opsi lain",2026-08-21 09:00:00,30,True
SHP00017,UMKM_7201,Banjarmasin,Makassar,2.06,35,14,24,1.96,200000,Same Day,65000,Beberapa Jam,32.5,45000,0.0,False,Same Day bukan pilihan optimal: ongkir 32.5% dari harga jual dengan selisih waktu 0.0 hari dari opsi tercepat,2026-08-21 09:00:00,30,True
SHP00017,UMKM_7201,Banjarmasin,Makassar,2.06,35,14,24,1.96,200000,Next Day,43000,1 Hari,21.5,23000,0.7,False,Next Day bukan pilihan optimal: ongkir 21.5% dari harga jual dengan selisih waktu 0.7 hari dari opsi tercepat,2026-08-21 09:00:00,30,True
SHP00018,UMKM_2424,Denpasar,Jakarta Utara,7.06,33,19,15,1.57,200000,Same Day,72000,Beberapa Jam,36.0,49500,0.0,False,Same Day bukan pilihan optimal: ongkir 36.0% dari harga jual dengan selisih waktu 0.0 hari dari opsi tercepat,2026-09-04 16:39:00,34,True
SHP00018,UMKM_2424,Denpasar,Jakarta Utara,7.06,33,19,15,1.57,200000,Ekonomi,22500,3-5 Hari,11.25,0,3.7,True,"Gunakan Ekonomi karena tarif paling hemat (11.25% dari harga jual), hemat sekitar 69% dibanding opsi lain",2026-09-04 16:39:00,34,True
SHP00019,UMKM_2679,Jakarta Timur,Medan,1.1,16,33,40,3.52,35000,Same Day,68500,Beberapa Jam,195.71,47000,0.0,False,Same Day bukan pilihan optimal: ongkir 195.71% dari harga jual dengan selisih waktu 0.0 hari dari opsi tercepat,2026-08-18 16:38:00,14,False
SHP00019,UMKM_2679,Jakarta Timur,Medan,1.1,16,33,40,3.52,35000,Reguler,28500,2-3 Hari,81.43,7000,2.2,False,Reguler bukan pilihan optimal: ongkir 81.43% dari harga jual dengan selisih waktu 2.2 hari dari opsi tercepat,2026-08-18 16:38:00,14,False
SHP00019,UMKM_2679,Jakarta Timur,Medan,1.1,16,33,40,3.52,35000,Next Day,45500,1 Hari,130.0,24000,0.7,False,Next Day bukan pilihan optimal: ongkir 130.0% dari harga jual dengan selisih waktu 0.7 hari dari opsi tercepat,2026-08-18 16:38:00,14,False
SHP00019,UMKM_2679,Jakarta Timur,Medan,1.1,16,33,40,3.52,35000,Ekonomi,21500,3-5 Hari,61.43,0,3.7,False,Ekonomi bukan pilihan optimal: ongkir 61.43% dari harga jual dengan selisih waktu 3.7 hari dari opsi tercepat,2026-08-18 16:38:00,14,False
SHP00020,UMKM_1434,Jakarta Pusat,Jakarta Barat,5.15,27,11,5,0.25,100000,Ekonomi,20000,3-5 Hari,20.0,0,3.7,False,Ekonomi bukan pilihan optimal: ongkir 20.0% dari harga jual dengan selisih waktu 3.7 hari dari opsi tercepat,2026-08-09 15:10:00,29,True
SHP00020,UMKM_1434,Jakarta Pusat,Jakarta Barat,5.15,27,11,5,0.25,100000,Same Day,63500,Beberapa Jam,63.5,43500,0.0,False,Same Day bukan pilihan optimal: ongkir 63.5% dari harga jual dengan selisih waktu 0.0 hari dari opsi tercepat,2026-08-09 15:10:00,29,True
SHP00020,UMKM_1434,Jakarta Pusat,Jakarta Barat,5.15,27,11,5,0.25,100000,Reguler,26500,2-3 Hari,26.5,6500,2.2,False,Reguler bukan pilihan optimal: ongkir 26.5% dari harga jual dengan selisih waktu 2.2 hari dari opsi tercepat,2026-08-09 15:10:00,29,True
SHP00020,UMKM_1434,Jakarta Pusat,Jakarta Barat,5.15,27,11,5,0.25,100000,Next Day,42500,1 Hari,42.5,22500,0.7,False,Next Day bukan pilihan optimal: ongkir 42.5% dari harga jual dengan selisih waktu 0.7 hari dari opsi tercepat,2026-08-09 15:10:00,29,True
SHP00021,UMKM_4657,Banjarmasin,Jakarta Timur,4.46,33,28,40,6.16,35000,Reguler,30000,2-3 Hari,85.71,7500,1.5,False,Reguler bukan pilihan optimal: ongkir 85.71% dari harga jual dengan selisih waktu 1.5 hari dari opsi tercepat,2026-08-28 11:02:00,20,True
SHP00021,UMKM_4657,Banjarmasin,Jakarta Timur,4.46,33,28,40,6.16,35000,Next Day,48000,1 Hari,137.14,25500,0.0,False,Next Day bukan pilihan optimal: ongkir 137.14% dari harga jual dengan selisih waktu 0.0 hari dari opsi tercepat,2026-08-28 11:02:00,20,True
SHP00021,UMKM_4657,Banjarmasin,Jakarta Timur,4.46,33,28,40,6.16,35000,Ekonomi,22500,3-5 Hari,64.29,0,3.0,False,Ekonomi bukan pilihan optimal: ongkir 64.29% dari harga jual dengan selisih waktu 3.0 hari dari opsi tercepat,2026-08-28 11:02:00,20,True
SHP00022,UMKM_2291,Semarang,Banjarmasin,1.0,45,38,31,8.84,500000,Ekonomi,26500,3-5 Hari,5.3,0,1.5,True,"Gunakan Ekonomi karena tarif paling hemat (5.3% dari harga jual), hemat sekitar 25% dibanding opsi lain",2026-08-10 14:55:00,11,False
SHP00022,UMKM_2291,Semarang,Banjarmasin,1.0,45,38,31,8.84,500000,Reguler,35500,2-3 Hari,7.1,9000,0.0,True,Gunakan Reguler karena estimasi tercepat (2-3 Hari) dengan tambahan biaya relatif kecil,2026-08-10 14:55:00,11,False
SHP00023,UMKM_1488,Manado,Makassar,6.3,36,35,20,4.2,75000,Next Day,44000,1 Hari,58.67,23500,0.0,False,Next Day bukan pilihan optimal: ongkir 58.67% dari harga jual dengan selisih waktu 0.0 hari dari opsi tercepat,2026-08-11 10:24:00,3,False
SHP00023,UMKM_1488,Manado,Makassar,6.3,36,35,20,4.2,75000,Reguler,27500,2-3 Hari,36.67,7000,1.5,False,Reguler bukan pilihan optimal: ongkir 36.67% dari harga jual dengan selisih waktu 1.5 hari dari opsi tercepat,2026-08-11 10:24:00,3,False
SHP00023,UMKM_1488,Manado,Makassar,6.3,36,35,20,4.2,75000,Ekonomi,20500,3-5 Hari,27.33,0,3.0,False,Ekonomi bukan pilihan optimal: ongkir 27.33% dari harga jual dengan selisih waktu 3.0 hari dari opsi tercepat,2026-08-11 10:24:00,3,False
SHP00024,UMKM_5557,Medan,Semarang,1.94,22,22,26,2.1,75000,Same Day,57500,Beberapa Jam,76.67,39500,0.0,False,Same Day bukan pilihan optimal: ongkir 76.67% dari harga jual dengan selisih waktu 0.0 hari dari opsi tercepat,2026-08-05 15:22:00,33,True
SHP00024,UMKM_5557,Medan,Semarang,1.94,22,22,26,2.1,75000,Reguler,24000,2-3 Hari,32.0,6000,2.2,False,Reguler bukan pilihan optimal: ongkir 32.0% dari harga jual dengan selisih waktu 2.2 hari dari opsi tercepat,2026-08-05 15:22:00,33,True
SHP00024,UMKM_5557,Medan,Semarang,1.94,22,22,26,2.1,75000,Ekonomi,18000,3-5 Hari,24.0,0,3.7,False,Ekonomi bukan pilihan optimal: ongkir 24.0% dari harga jual dengan selisih waktu 3.7 hari dari opsi tercepat,2026-08-05 15:22:00,33,True
SHP00025,UMKM_8428,Yogyakarta,Bandung,4.73,26,11,11,0.52,500000,Reguler,31500,2-3 Hari,6.3,8000,1.5,False,Reguler bukan pilihan optimal: ongkir 6.3% dari harga jual dengan selisih waktu 1.5 hari dari opsi tercepat,2026-08-28 18:46:00,21,True
SHP00025,UMKM_8428,Yogyakarta,Bandung,4.73,26,11,11,0.52,500000,Next Day,50500,1 Hari,10.1,27000,0.0,False,Next Day bukan pilihan optimal: ongkir 10.1% dari harga jual dengan selisih waktu 0.0 hari dari opsi tercepat,2026-08-28 18:46:00,21,True
SHP00025,UMKM_8428,Yogyakarta,Bandung,4.73,26,11,11,0.52,500000,Ekonomi,23500,3-5 Hari,4.7,0,3.0,True,"Gunakan Ekonomi karena tarif paling hemat (4.7% dari harga jual), hemat sekitar 53% dibanding opsi lain",2026-08-28 18:46:00,21,True
SHP00026,UMKM_1434,Jakarta Pusat,Manado,3.6,43,39,39,10.9,50000,Same Day,102000,Beberapa Jam,204.0,70000,0.0,False,Same Day bukan pilihan optimal: ongkir 204.0% dari harga jual dengan selisih waktu 0.0 hari dari opsi tercepat,2026-08-24 20:04:00,22,True
SHP00026,UMKM_1434,Jakarta Pusat,Manado,3.6,43,39,39,10.9,50000,Ekonomi,32000,3-5 Hari,64.0,0,3.7,False,Ekonomi bukan pilihan optimal: ongkir 64.0% dari harga jual dengan selisih waktu 3.7 hari dari opsi tercepat,2026-08-24 20:04:00,22,True
SHP00026,UMKM_1434,Jakarta Pusat,Manado,3.6,43,39,39,10.9,50000,Reguler,42500,2-3 Hari,85.0,10500,2.2,False,Reguler bukan pilihan optimal: ongkir 85.0% dari harga jual dengan selisih waktu 2.2 hari dari opsi tercepat,2026-08-24 20:04:00,22,True
SHP00026,UMKM_1434,Jakarta Pusat,Manado,3.6,43,39,39,10.9,50000,Next Day,68000,1 Hari,136.0,36000,0.7,False,Next Day bukan pilihan optimal: ongkir 136.0% dari harga jual dengan selisih waktu 0.7 hari dari opsi tercepat,2026-08-24 20:04:00,22,True
SHP00027,UMKM_2519,Medan,Banjarmasin,3.39,35,32,23,4.29,300000,Next Day,36000,1 Hari,12.0,19000,0.7,False,Next Day bukan pilihan optimal: ongkir 12.0% dari harga jual dengan selisih waktu 0.7 hari dari opsi tercepat,2026-08-09 13:26:00,25,True
SHP00027,UMKM_2519,Medan,Banjarmasin,3.39,35,32,23,4.29,300000,Same Day,54000,Beberapa Jam,18.0,37000,0.0,False,Same Day bukan pilihan optimal: ongkir 18.0% dari harga jual dengan selisih waktu 0.0 hari dari opsi tercepat,2026-08-09 13:26:00,25,True
SHP00027,UMKM_2519,Medan,Banjarmasin,3.39,35,32,23,4.29,300000,Ekonomi,17000,3-5 Hari,5.67,0,3.7,True,"Gunakan Ekonomi karena tarif paling hemat (5.67% dari harga jual), hemat sekitar 69% dibanding opsi lain",2026-08-09 13:26:00,25,True
SHP00027,UMKM_2519,Medan,Banjarmasin,3.39,35,32,23,4.29,300000,Reguler,22500,2-3 Hari,7.5,5500,2.2,False,Reguler bukan pilihan optimal: ongkir 7.5% dari harga jual dengan selisih waktu 2.2 hari dari opsi tercepat,2026-08-09 13:26:00,25,True
SHP00028,UMKM_6881,Jakarta Selatan,Makassar,2.44,37,35,25,5.4,200000,Ekonomi,18500,3-5 Hari,9.25,0,3.7,True,"Gunakan Ekonomi karena tarif paling hemat (9.25% dari harga jual), hemat sekitar 69% dibanding opsi lain",2026-08-29 21:43:00,14,False
SHP00028,UMKM_6881,Jakarta Selatan,Makassar,2.44,37,35,25,5.4,200000,Same Day,59000,Beberapa Jam,29.5,40500,0.0,False,Same Day bukan pilihan optimal: ongkir 29.5% dari harga jual dengan selisih waktu 0.0 hari dari opsi tercepat,2026-08-29 21:43:00,14,False
SHP00028,UMKM_6881,Jakarta Selatan,Makassar,2.44,37,35,25,5.4,200000,Reguler,24500,2-3 Hari,12.25,6000,2.2,False,Reguler bukan pilihan optimal: ongkir 12.25% dari harga jual dengan selisih waktu 2.2 hari dari opsi tercepat,2026-08-29 21:43:00,14,False
SHP00028,UMKM_6881,Jakarta Selatan,Makassar,2.44,37,35,25,5.4,200000,Next Day,39000,1 Hari,19.5,20500,0.7,False,Next Day bukan pilihan optimal: ongkir 19.5% dari harga jual dengan selisih waktu 0.7 hari dari opsi tercepat,2026-08-29 21:43:00,14,False
SHP00029,UMKM_9928,Depok,Banjarmasin,5.14,31,12,20,1.24,75000,Next Day,37000,1 Hari,49.33,20000,0.0,False,Next Day bukan pilihan optimal: ongkir 49.33% dari harga jual dengan selisih waktu 0.0 hari dari opsi tercepat,2026-08-15 13:09:00,2,False
SHP00029,UMKM_9928,Depok,Banjarmasin,5.14,31,12,20,1.24,75000,Ekonomi,17000,3-5 Hari,22.67,0,3.0,False,Ekonomi bukan pilihan optimal: ongkir 22.67% dari harga jual dengan selisih waktu 3.0 hari dari opsi tercepat,2026-08-15 13:09:00,2,False
SHP00030,UMKM_8527,Samarinda,Jakarta Utara,3.75,50,28,17,3.97,150000,Reguler,25000,2-3 Hari,16.67,6000,2.2,False,Reguler bukan pilihan optimal: ongkir 16.67% dari harga jual dengan selisih waktu 2.2 hari dari opsi tercepat,2026-09-01 19:15:00,10,False
SHP00030,UMKM_8527,Samarinda,Jakarta Utara,3.75,50,28,17,3.97,150000,Ekonomi,19000,3-5 Hari,12.67,0,3.7,True,"Gunakan Ekonomi karena tarif paling hemat (12.67% dari harga jual), hemat sekitar 68% dibanding opsi lain",2026-09-01 19:15:00,10,False
SHP00030,UMKM_8527,Samarinda,Jakarta Utara,3.75,50,28,17,3.97,150000,Next Day,40000,1 Hari,26.67,21000,0.7,False,Next Day bukan pilihan optimal: ongkir 26.67% dari harga jual dengan selisih waktu 0.7 hari dari opsi tercepat,2026-09-01 19:15:00,10,False
SHP00030,UMKM_8527,Samarinda,Jakarta Utara,3.75,50,28,17,3.97,150000,Same Day,60000,Beberapa Jam,40.0,41000,0.0,False,Same Day bukan pilihan optimal: ongkir 40.0% dari harga jual dengan selisih waktu 0.0 hari dari opsi tercepat,2026-09-01 19:15:00,10,False
SHP00031,UMKM_1488,Banjarmasin,Depok,3.82,45,17,12,1.53,200000,Same Day,60000,Beberapa Jam,30.0,41000,0.0,False,Same Day bukan pilihan optimal: ongkir 30.0% dari harga jual dengan selisih waktu 0.0 hari dari opsi tercepat,2026-08-09 21:42:00,34,True
SHP00031,UMKM_1488,Banjarmasin,Depok,3.82,45,17,12,1.53,200000,Next Day,40000,1 Hari,20.0,21000,0.7,False,Next Day bukan pilihan optimal: ongkir 20.0% dari harga jual dengan selisih waktu 0.7 hari dari opsi tercepat,2026-08-09 21:42:00,34,True
SHP00031,UMKM_1488,Banjarmasin,Depok,3.82,45,17,12,1.53,200000,Ekonomi,19000,3-5 Hari,9.5,0,3.7,True,"Gunakan Ekonomi karena tarif paling hemat (9.5% dari harga jual), hemat sekitar 68% dibanding opsi lain",2026-08-09 21:42:00,34,True
